#prefix,addresses,ent9,ent10,ent11,ent12,ent13,ent14,ent15,ent16,ent17,ent18,ent19,ent20,ent21,ent22,ent23,ent24,ent25,ent26,ent27,ent28,ent29,ent30,ent31,ent32
280003f0,168,0.000,0.000,0.000,0.510,0.000,0.190,0.200,0.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.117,0.764
2804014c,167,0.702,0.744,0.013,0.069,0.000,0.013,0.082,0.672,0.000,0.013,0.013,0.013,0.000,0.013,0.013,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.708
2804014d,163,0.769,0.686,0.079,0.094,0.000,0.013,0.013,0.576,0.000,0.013,0.013,0.013,0.000,0.000,0.000,0.013,0.000,0.013,0.013,0.013,0.000,0.000,0.211,0.684
2a001450,2863,0.000,0.000,0.301,0.821,0.000,0.367,0.419,0.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.026,0.553,0.963
2a0104f8,315,0.097,0.439,0.787,0.629,0.819,0.863,0.968,0.984,0.046,0.059,0.079,0.093,0.039,0.041,0.074,0.068,0.055,0.064,0.086,0.106,0.066,0.114,0.161,0.276
2a010e0a,521,0.000,0.104,0.881,0.990,0.987,0.982,0.994,0.000,0.083,0.153,0.167,0.158,0.165,0.164,0.121,0.121,0.121,0.121,0.186,0.183,0.188,0.196,0.200,0.200
2a010e34,1559,0.000,0.496,0.995,0.997,0.991,0.980,0.999,0.002,0.064,0.146,0.160,0.163,0.162,0.161,0.125,0.122,0.126,0.126,0.193,0.206,0.205,0.210,0.212,0.214
2a010e35,2163,0.317,0.652,0.994,0.997,0.997,0.995,0.998,0.006,0.069,0.147,0.160,0.158,0.164,0.161,0.124,0.122,0.124,0.124,0.183,0.203,0.198,0.200,0.200,0.205
2a0206b8,101,0.222,0.020,0.194,0.121,0.243,0.374,0.294,0.483,0.231,0.267,0.311,0.318,0.116,0.068,0.101,0.091,0.334,0.367,0.369,0.683,0.353,0.666,0.851,0.955
2a020c7a,126,0.029,0.000,0.000,0.029,0.387,0.660,0.153,0.714,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.741
2a028400,175,0.000,0.000,0.000,0.031,0.000,0.013,0.376,0.952,0.031,0.031,0.031,0.031,0.031,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.756
2a032880,249,0.043,0.405,0.490,0.885,0.103,0.284,0.534,0.891,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.469,0.648,0.736,0.698
2a049dc0,153,0.000,0.000,0.465,0.767,0.025,0.716,0.820,0.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.014,0.014,0.028,0.014,0.014,0.014,0.039
